Position MGI Austria West (EPSG 31254)	70702 RW; 237082 HW
Position WGS 84 (EPSG 4326)           	11°16'2" Ost; 47°16'7" Nord
Azimut	Nah-Horizont	Fern-Horizont	Total
193.00	51.65	10.17	51.65
194.00	51.54	10.08	51.54
195.00	73.47	9.81	73.47
196.00	73.40	9.36	73.40
197.00	73.31	8.76	73.31
198.00	73.23	8.37	73.23
199.00	73.13	8.00	73.13
200.00	73.04	7.61	73.04
201.00	72.94	7.13	72.94
202.00	72.83	7.43	72.83
203.00	72.71	7.41	72.71
204.00	72.58	7.26	72.58
205.00	72.45	7.70	72.45
206.00	72.33	7.89	72.33
207.00	72.18	8.14	72.18
208.00	72.03	8.02	72.03
209.00	71.86	8.26	71.86
210.00	71.70	8.61	71.70
211.00	71.51	8.94	71.51
212.00	71.34	9.01	71.34
213.00	71.13	8.81	71.13
214.00	70.93	8.79	70.93
215.00	70.72	8.46	70.72
216.00	70.50	7.91	70.50
217.00	70.19	7.28	70.19
218.00	69.94	7.13	69.94
219.00	69.70	7.43	69.70
220.00	69.42	7.65	69.42
221.00	69.12	7.86	69.12
222.00	68.84	8.05	68.84
223.00	68.53	8.22	68.53
224.00	68.20	8.48	68.20
225.00	67.86	8.91	67.86
226.00	68.20	9.33	68.20
227.00	68.53	9.39	68.53
228.00	68.84	9.51	68.84
229.00	69.12	9.49	69.12
230.00	69.42	9.56	69.42
231.00	69.70	9.55	69.70
232.00	69.94	9.53	69.94
233.00	70.19	9.84	70.19
234.00	70.57	10.11	70.57
235.00	70.80	9.93	70.80
236.00	71.00	10.24	71.00
237.00	71.20	10.55	71.20
238.00	71.41	11.11	71.41
239.00	71.58	11.28	71.58
240.00	71.77	10.81	71.77
241.00	71.93	10.19	71.93
242.00	72.09	10.14	72.09
243.00	72.25	10.32	72.25
244.00	80.95	10.44	80.95
245.00	81.02	10.46	81.02
246.00	81.09	10.38	81.09
247.00	81.15	10.17	81.15
248.00	81.22	9.93	81.22
249.00	81.28	9.64	81.28
250.00	81.33	9.42	81.33
251.00	81.38	9.52	81.38
252.00	81.43	9.45	81.43
253.00	81.48	9.45	81.48
254.00	81.52	9.56	81.52
255.00	81.56	9.41	81.56
256.00	81.60	9.21	81.60
257.00	81.63	9.29	81.63
258.00	81.67	9.20	81.67
259.00	81.70	8.99	81.70
260.00	81.72	8.75	81.72
261.00	81.75	8.59	81.75
262.00	81.77	8.54	81.77
263.00	81.79	8.33	81.79
264.00	81.80	7.76	81.80
265.00	81.82	7.27	81.82
266.00	81.83	6.90	81.83
267.00	81.84	6.62	81.84
268.00	81.84	6.38	81.84
269.00	81.85	5.93	81.85
270.00	81.85	5.32	81.85
271.00	81.85	4.75	81.85
272.00	81.84	4.34	81.84
273.00	81.84	3.95	81.84
274.00	81.83	3.46	81.83
275.00	81.82	2.94	81.82
276.00	81.80	2.44	81.80
277.00	81.79	2.00	81.79
278.00	81.77	1.57	81.77
279.00	81.75	1.19	81.75
280.00	81.72	1.10	81.72
281.00	81.70	0.97	81.70
282.00	81.67	0.71	81.67
283.00	81.64	0.87	81.64
284.00	81.60	0.87	81.60
285.00	81.56	5.06	81.56
286.00	81.53	5.04	81.53
287.00	81.48	13.27	81.48
288.00	81.44	13.20	81.44
289.00	81.38	13.13	81.38
290.00	81.33	13.05	81.33
291.00	81.28	32.39	81.28
292.00	81.22	32.21	81.22
293.00	81.15	32.02	81.15
294.00	81.09	31.83	81.09
295.00	81.02	31.62	81.02
296.00	80.95	31.41	80.95
297.00	44.04	55.22	55.22
298.00	47.71	54.98	54.98
299.00	50.28	54.72	54.72
300.00	51.97	54.45	54.45
301.00	52.70	54.18	54.18
302.00	54.33	53.88	54.33
303.00	54.71	53.58	54.71
304.00	55.43	53.26	55.43
305.00	55.73	52.93	55.73
306.00	55.79	52.59	55.79
307.00	55.76	58.36	58.36
308.00	55.95	58.02	58.02
309.00	56.24	57.66	57.66
310.00	56.08	57.28	57.28
311.00	57.97	56.90	57.97
312.00	58.18	56.49	58.18
313.00	58.94	56.07	58.94
314.00	60.07	55.63	60.07
315.00	61.26	55.17	61.26
316.00	61.61	55.63	61.61
317.00	62.11	56.07	62.11
318.00	61.78	56.49	61.78
319.00	61.90	56.90	61.90
320.00	62.63	57.28	62.63
321.00	62.97	57.66	62.97
322.00	63.59	58.02	63.59
323.00	64.76	58.36	64.76
324.00	65.05	61.53	65.05
325.00	65.51	61.82	65.51
326.00	65.75	62.11	65.75
327.00	66.45	62.38	66.45
328.00	66.80	62.64	66.80
329.00	67.02	62.89	67.02
330.00	67.81	63.13	67.81
331.00	67.99	63.35	67.99
332.00	69.84	63.57	69.84
333.00	70.01	63.78	70.01
334.00	71.85	73.09	73.09
335.00	71.98	73.22	73.22
336.00	75.22	73.35	75.22
337.00	75.33	73.47	75.33
338.00	75.44	73.58	75.44
339.00	76.25	73.69	76.25
340.00	76.33	73.78	76.33
341.00	76.82	73.88	76.82
342.00	76.90	73.97	76.90
343.00	78.76	74.05	78.76
344.00	78.82	74.13	78.82
345.00	78.87	74.20	78.87
346.00	78.92	74.27	78.92
347.00	78.97	74.33	78.97
348.00	80.72	74.39	80.72
349.00	80.76	74.44	80.76
350.00	80.79	74.49	80.79
351.00	80.81	74.54	80.81
352.00	80.84	74.57	80.84
353.00	80.86	74.61	80.86
354.00	80.87	74.64	80.87
355.00	80.89	74.66	80.89
356.00	81.83	74.68	81.83
357.00	81.84	74.70	81.84
358.00	81.84	74.71	81.84
359.00	81.85	74.71	81.85
