Position MGI Austria West (EPSG 31254)	71748 RW; 237062 HW
Position WGS 84 (EPSG 4326)           	11°16'52" Ost; 47°16'6" Nord
Azimut	Nah-Horizont	Fern-Horizont	Total
193.00	0.00	7.50	7.50
194.00	0.00	8.04	8.04
195.00	0.00	7.96	7.96
196.00	0.00	8.40	8.40
197.00	0.00	8.28	8.28
198.00	0.00	8.54	8.54
199.00	0.00	8.58	8.58
200.00	0.00	8.81	8.81
201.00	0.00	8.91	8.91
202.00	0.00	8.67	8.67
203.00	0.00	8.34	8.34
204.00	0.00	7.74	7.74
205.00	0.00	7.19	7.19
206.00	0.00	6.85	6.85
207.00	5.30	6.69	6.69
208.00	5.25	6.69	6.69
209.00	5.20	7.05	7.05
210.00	5.15	7.20	7.20
211.00	5.09	7.34	7.34
212.00	5.04	7.46	7.46
213.00	4.98	7.50	7.50
214.00	4.93	7.77	7.77
215.00	4.87	8.00	8.00
216.00	4.81	8.08	8.08
217.00	4.75	7.86	7.86
218.00	4.68	7.83	7.83
219.00	4.62	7.52	7.52
220.00	4.56	6.95	6.95
221.00	4.48	6.29	6.29
222.00	4.42	6.06	6.06
223.00	4.35	5.97	5.97
224.00	4.28	5.85	5.85
225.00	4.21	6.06	6.06
226.00	4.28	6.04	6.04
227.00	4.35	6.25	6.25
228.00	4.42	6.44	6.44
229.00	4.48	6.67	6.67
230.00	4.56	7.15	7.15
231.00	4.62	7.66	7.66
232.00	4.68	7.80	7.80
233.00	4.75	7.88	7.88
234.00	45.21	7.87	45.21
235.00	45.57	7.96	45.57
236.00	45.90	7.98	45.90
237.00	46.23	8.33	46.23
238.00	46.56	8.53	46.56
239.00	46.86	8.75	46.86
240.00	47.16	8.95	47.16
241.00	47.43	9.58	47.43
242.00	47.71	9.67	47.71
243.00	47.98	9.20	47.98
244.00	48.23	8.89	48.23
245.00	48.45	8.77	48.45
246.00	48.67	8.40	48.67
247.00	48.89	8.68	48.89
248.00	49.11	8.58	49.11
249.00	49.30	8.52	49.30
250.00	49.46	8.60	49.46
251.00	49.63	8.26	49.63
252.00	49.81	8.09	49.81
253.00	49.96	8.15	49.96
254.00	50.11	8.00	50.11
255.00	50.25	8.10	50.25
256.00	42.67	8.13	42.67
257.00	42.78	7.85	42.78
258.00	42.90	7.80	42.90
259.00	43.00	7.87	43.00
260.00	43.09	7.67	43.09
261.00	43.17	7.38	43.17
262.00	43.25	7.25	43.25
263.00	43.32	7.26	43.32
264.00	43.37	7.00	43.37
265.00	43.42	6.45	43.42
266.00	43.46	10.01	43.46
267.00	43.49	12.20	43.49
268.00	43.51	12.26	43.51
269.00	43.53	13.39	43.53
270.00	43.53	13.39	43.53
271.00	43.53	13.64	43.53
272.00	43.52	28.84	43.52
273.00	43.49	28.82	43.49
274.00	43.46	34.36	43.46
275.00	43.42	34.53	43.42
276.00	43.37	35.14	43.37
277.00	43.32	35.22	43.32
278.00	43.26	35.74	43.26
279.00	43.18	36.10	43.18
280.00	43.10	36.60	43.10
281.00	43.01	36.94	43.01
282.00	42.91	37.63	42.91
283.00	42.79	37.76	42.79
284.00	42.68	38.08	42.68
285.00	22.35	38.50	38.50
286.00	23.62	38.40	38.40
287.00	24.52	38.76	38.76
288.00	25.14	38.99	38.99
289.00	25.26	38.87	38.87
290.00	25.68	39.09	39.09
291.00	26.43	38.96	38.96
292.00	27.15	39.04	39.04
293.00	28.21	39.36	39.36
294.00	29.71	39.22	39.22
295.00	29.25	39.44	39.44
296.00	29.66	39.70	39.70
297.00	29.97	43.05	43.05
298.00	30.09	42.80	42.80
299.00	29.06	42.52	42.52
300.00	29.23	42.24	42.24
301.00	29.20	41.95	41.95
302.00	29.60	41.65	41.65
303.00	30.21	41.33	41.33
304.00	31.67	41.00	41.00
305.00	32.07	41.13	41.13
306.00	31.63	41.68	41.68
307.00	32.13	41.32	41.32
308.00	33.55	41.52	41.52
309.00	33.20	41.42	41.42
310.00	33.40	41.53	41.53
311.00	34.24	42.26	42.26
312.00	34.56	41.82	41.82
313.00	35.13	42.51	42.51
314.00	35.31	42.03	42.03
315.00	35.81	42.92	42.92
316.00	36.50	43.12	43.12
317.00	36.57	43.59	43.59
318.00	37.20	43.96	43.96
319.00	52.09	44.41	52.09
320.00	52.53	44.58	52.53
