Position MGI Austria West (EPSG 31254)	44223 RW; 225490 HW
Position WGS 84 (EPSG 4326)           	10°54'58" Ost; 47°10'0" Nord
Azimut	Nah-Horizont	Fern-Horizont	Total
193.00	2.19	15.56	15.56
194.00	4.69	15.47	15.47
195.00	5.27	14.98	14.98
196.00	5.21	14.42	14.42
197.00	4.66	13.72	13.72
198.00	2.81	12.63	12.63
199.00	0.63	12.13	12.13
200.00	0.61	11.76	11.76
201.00	0.49	12.09	12.09
202.00	0.31	11.98	11.98
203.00	0.00	12.41	12.41
204.00	0.00	13.18	13.18
205.00	0.00	14.28	14.28
206.00	0.00	14.97	14.97
207.00	0.00	15.72	15.72
208.00	0.00	16.47	16.47
209.00	0.00	16.91	16.91
210.00	0.00	17.02	17.02
211.00	0.00	16.90	16.90
212.00	0.00	16.94	16.94
213.00	0.00	16.64	16.64
214.00	0.00	16.51	16.51
215.00	0.00	17.09	17.09
216.00	0.00	17.62	17.62
217.00	0.00	18.00	18.00
218.00	0.00	18.42	18.42
219.00	0.00	19.23	19.23
220.00	0.00	19.84	19.84
221.00	0.00	20.12	20.12
222.00	0.00	20.20	20.20
223.00	0.00	20.58	20.58
224.00	0.00	20.86	20.86
225.00	0.00	21.24	21.24
226.00	0.00	21.58	21.58
227.00	0.00	21.97	21.97
228.00	0.00	22.51	22.51
229.00	0.00	22.73	22.73
230.00	0.00	23.06	23.06
231.00	0.00	23.22	23.22
232.00	0.00	22.95	22.95
233.00	0.00	22.98	22.98
234.00	0.00	23.10	23.10
235.00	0.00	23.45	23.45
236.00	0.00	23.68	23.68
237.00	0.00	23.70	23.70
238.00	0.00	23.87	23.87
239.00	0.00	24.05	24.05
240.00	0.00	24.41	24.41
241.00	0.00	24.66	24.66
242.00	0.00	25.03	25.03
243.00	0.00	25.70	25.70
244.00	0.00	25.40	25.40
245.00	0.00	25.76	25.76
246.00	0.00	26.15	26.15
247.00	0.00	26.37	26.37
248.00	0.00	26.58	26.58
249.00	0.00	26.88	26.88
250.00	0.00	27.05	27.05
251.00	0.00	26.60	26.60
252.00	0.00	26.99	26.99
253.00	0.00	26.80	26.80
254.00	0.00	26.89	26.89
255.00	0.00	26.95	26.95
256.00	0.00	26.64	26.64
257.00	0.00	26.31	26.31
258.00	0.00	26.10	26.10
259.00	0.00	25.63	25.63
260.00	0.00	25.41	25.41
261.00	0.00	25.40	25.40
262.00	0.00	25.34	25.34
263.00	0.00	25.12	25.12
264.00	0.00	24.89	24.89
265.00	0.00	24.41	24.41
266.00	0.00	24.26	24.26
267.00	0.00	24.10	24.10
268.00	0.00	23.56	23.56
269.00	0.00	23.35	23.35
270.00	0.00	23.09	23.09
271.00	0.00	22.90	22.90
272.00	0.00	22.71	22.71
273.00	0.00	22.72	22.72
274.00	0.00	22.78	22.78
275.00	0.00	22.82	22.82
276.00	0.00	22.82	22.82
277.00	0.00	22.85	22.85
278.00	0.00	22.99	22.99
279.00	0.00	23.18	23.18
280.00	0.00	23.64	23.64
281.00	0.00	23.74	23.74
282.00	0.00	23.68	23.68
283.00	0.00	23.63	23.63
284.00	0.00	23.22	23.22
285.00	0.00	22.91	22.91
286.00	0.00	22.66	22.66
