Position MGI Austria West (EPSG 31254)	38661 RW; 242253 HW
Position WGS 84 (EPSG 4326)           	10°50'39" Ost; 47°19'4" Nord
Azimut	Nah-Horizont	Fern-Horizont	Total
193.00	0.00	7.69	7.69
194.00	0.00	7.76	7.76
195.00	0.00	8.01	8.01
196.00	0.00	8.34	8.34
197.00	0.00	8.24	8.24
198.00	0.00	8.00	8.00
199.00	0.00	7.86	7.86
200.00	0.00	8.04	8.04
201.00	0.00	8.13	8.13
202.00	0.00	8.27	8.27
203.00	0.00	8.15	8.15
204.00	0.00	7.73	7.73
205.00	0.00	7.00	7.00
206.00	0.00	6.72	6.72
207.00	0.00	6.07	6.07
208.00	0.00	5.66	5.66
209.00	0.00	4.93	4.93
210.00	0.00	4.42	4.42
211.00	0.00	3.90	3.90
212.00	0.00	3.25	3.25
213.00	0.00	2.81	2.81
214.00	0.00	3.07	3.07
215.00	0.00	3.53	3.53
216.00	0.00	4.09	4.09
217.00	0.00	4.96	4.96
218.00	0.00	5.59	5.59
219.00	0.00	6.53	6.53
220.00	0.00	6.95	6.95
221.00	0.00	7.40	7.40
222.00	0.00	8.11	8.11
223.00	0.00	8.20	8.20
224.00	0.00	8.21	8.21
225.00	0.00	8.44	8.44
226.00	0.00	8.92	8.92
227.00	0.00	9.21	9.21
228.00	0.00	9.68	9.68
229.00	0.00	9.98	9.98
230.00	0.00	10.29	10.29
231.00	0.00	10.50	10.50
232.00	0.00	10.82	10.82
233.00	0.00	10.89	10.89
234.00	0.00	11.16	11.16
235.00	0.00	11.38	11.38
236.00	0.00	11.99	11.99
237.00	0.00	12.42	12.42
238.00	0.00	12.73	12.73
239.00	0.00	13.04	13.04
240.00	0.00	13.19	13.19
241.00	0.00	13.23	13.23
242.00	0.00	13.19	13.19
243.00	0.00	13.13	13.13
244.00	0.00	13.06	13.06
245.00	0.00	12.90	12.90
246.00	0.00	12.69	12.69
247.00	0.00	12.34	12.34
248.00	0.00	12.14	12.14
249.00	0.00	11.80	11.80
250.00	0.00	11.66	11.66
251.00	0.00	12.34	12.34
252.00	0.00	12.88	12.88
253.00	0.00	12.99	12.99
254.00	0.00	12.63	12.63
255.00	0.00	12.37	12.37
256.00	0.00	12.16	12.16
257.00	0.00	11.80	11.80
258.00	0.00	11.36	11.36
259.00	0.00	11.52	11.52
260.00	0.00	11.63	11.63
261.00	0.00	11.02	11.02
262.00	0.00	10.63	10.63
263.00	0.00	10.43	10.43
264.00	0.00	10.12	10.12
265.00	0.00	11.05	11.05
266.00	0.00	11.67	11.67
267.00	0.00	12.46	12.46
268.00	0.00	12.87	12.87
269.00	0.00	12.47	12.47
