Position MGI Austria West (EPSG 31254)	46984 RW; 215363 HW
Position WGS 84 (EPSG 4326)           	10°57'6" Ost; 47°4'32" Nord
Azimut	Nah-Horizont	Fern-Horizont	Total
193.00	75.04	54.87	75.04
194.00	74.98	54.76	74.98
195.00	74.92	54.64	74.92
196.00	74.85	54.51	74.85
197.00	74.77	54.37	74.77
198.00	74.69	54.21	74.69
199.00	74.60	54.06	74.60
200.00	74.51	53.89	74.51
201.00	75.47	53.71	75.47
202.00	75.38	53.53	75.38
203.00	75.27	53.33	75.27
204.00	75.16	53.12	75.16
205.00	75.05	52.90	75.05
206.00	74.94	52.67	74.94
207.00	74.81	62.65	74.81
208.00	74.68	62.44	74.68
209.00	74.53	62.21	74.53
210.00	74.39	61.98	74.39
211.00	74.23	61.73	74.23
212.00	74.08	61.48	74.08
213.00	73.58	61.21	73.58
214.00	73.39	60.93	73.39
215.00	73.21	60.63	73.21
216.00	73.81	60.33	73.81
217.00	73.61	60.01	73.61
218.00	73.40	59.67	73.40
219.00	73.19	59.33	73.19
220.00	74.05	58.96	74.05
221.00	73.81	58.59	73.81
222.00	74.20	58.19	74.20
223.00	73.96	57.78	73.96
224.00	74.90	57.35	74.90
225.00	74.65	56.90	74.65
226.00	74.90	57.35	74.90
227.00	73.96	57.78	73.96
228.00	74.20	58.19	74.20
229.00	74.24	58.59	74.24
230.00	74.48	58.96	74.48
231.00	74.54	59.33	74.54
232.00	73.85	59.67	73.85
233.00	74.06	60.01	74.06
234.00	74.26	60.33	74.26
235.00	74.63	60.63	74.63
236.00	74.79	60.93	74.79
237.00	74.96	61.21	74.96
238.00	75.13	61.48	75.13
239.00	75.15	61.73	75.15
240.00	75.30	61.98	75.30
241.00	75.43	62.21	75.43
242.00	74.92	62.44	74.92
243.00	75.05	62.65	75.05
244.00	75.17	59.35	75.17
245.00	75.28	59.56	75.28
246.00	74.81	59.76	74.81
247.00	74.92	59.95	74.92
248.00	74.10	60.13	74.10
249.00	74.20	60.30	74.20
250.00	74.58	60.45	74.58
251.00	74.67	60.61	74.67
252.00	74.76	60.75	74.76
253.00	74.84	60.88	74.84
254.00	74.54	61.01	74.54
255.00	74.61	61.13	74.61
256.00	74.68	61.24	74.68
257.00	74.73	61.34	74.73
258.00	74.79	61.43	74.79
259.00	74.80	61.52	74.80
260.00	74.85	61.59	74.85
261.00	74.89	61.66	74.89
262.00	74.93	61.73	74.93
263.00	73.83	61.78	73.83
264.00	73.75	61.83	73.75
265.00	73.77	61.87	73.77
266.00	73.80	61.90	73.80
267.00	73.81	61.93	73.81
268.00	73.26	61.95	73.26
269.00	73.27	61.96	73.27
270.00	73.27	61.96	73.27
271.00	73.27	61.96	73.27
272.00	73.26	61.95	73.26
273.00	73.26	61.93	73.26
274.00	73.24	61.90	73.24
275.00	73.22	61.87	73.22
276.00	73.19	61.83	73.19
277.00	72.95	61.78	72.95
278.00	72.17	61.73	72.17
279.00	71.57	61.67	71.57
280.00	71.52	61.60	71.52
281.00	70.91	61.52	70.91
282.00	70.84	61.43	70.84
283.00	70.77	61.34	70.77
284.00	70.70	61.24	70.70
285.00	71.20	61.13	71.20
286.00	71.62	61.01	71.62
287.00	71.53	60.89	71.53
288.00	71.44	60.75	71.44
289.00	71.33	60.61	71.33
290.00	69.75	60.46	69.75
291.00	69.63	60.30	69.63
292.00	67.61	60.13	67.61
293.00	67.45	59.95	67.45
294.00	64.17	59.76	64.17
295.00	63.86	59.56	63.86
296.00	62.68	59.35	62.68
297.00	62.53	47.88	62.53
298.00	62.31	47.63	62.31
299.00	64.56	47.35	64.56
300.00	65.80	47.07	65.80
301.00	65.57	46.78	65.57
302.00	65.35	46.47	65.35
303.00	65.28	46.16	65.28
304.00	65.02	45.82	65.02
305.00	66.25	45.48	66.25
306.00	65.98	45.12	65.98
307.00	65.67	44.75	65.67
308.00	65.37	44.37	65.37
309.00	65.09	43.98	65.09
310.00	55.12	43.56	55.12
311.00	54.67	43.13	54.67
312.00	53.57	42.69	53.57
313.00	49.19	42.24	49.19
314.00	48.84	41.76	48.84
315.00	48.49	41.28	48.49
316.00	46.59	41.76	46.59
317.00	41.39	42.24	42.24
318.00	40.63	42.69	42.69
319.00	41.04	43.13	43.13
320.00	38.52	43.56	43.56
321.00	38.93	43.98	43.98
322.00	37.65	44.37	44.37
323.00	37.09	44.75	44.75
324.00	35.39	45.12	45.12
325.00	33.65	45.48	45.48
326.00	33.96	45.82	45.82
327.00	31.54	46.16	46.16
328.00	31.83	46.47	46.47
329.00	32.10	46.78	46.78
330.00	28.24	47.07	47.07
331.00	28.20	47.35	47.35
332.00	26.63	47.63	47.63
333.00	26.84	47.88	47.88
334.00	25.96	4.87	25.96
335.00	25.05	4.59	25.05
336.00	25.23	4.08	25.23
337.00	22.02	3.53	22.02
338.00	15.45	3.44	15.45
339.00	15.46	3.36	15.46
340.00	15.54	3.07	15.54
341.00	6.04	2.89	6.04
342.00	6.08	2.74	6.08
343.00	6.11	2.63	6.11
344.00	4.31	2.49	4.31
345.00	4.33	1.80	4.33
346.00	0.00	1.98	1.98
347.00	0.00	3.09	3.09
348.00	0.00	3.73	3.73
349.00	0.00	4.23	4.23
350.00	0.00	4.57	4.57
351.00	0.00	4.68	4.68
352.00	0.00	4.87	4.87
353.00	0.00	5.23	5.23
354.00	0.00	5.75	5.75
355.00	0.00	6.14	6.14
356.00	0.00	6.35	6.35
357.00	0.00	6.49	6.49
358.00	0.00	6.73	6.73
359.00	0.00	7.14	7.14
