Position MGI Austria West (EPSG 31254)	18744 RW; 224973 HW
Position WGS 84 (EPSG 4326)           	10°34'48" Ost; 47°9'48" Nord
Azimut	Nah-Horizont	Fern-Horizont	Total
193.00	0.00	11.88	11.88
194.00	0.00	12.43	12.43
195.00	0.00	12.91	12.91
196.00	0.00	13.04	13.04
197.00	0.00	12.87	12.87
198.00	0.00	12.91	12.91
199.00	0.00	12.88	12.88
200.00	0.00	13.30	13.30
201.00	0.00	13.20	13.20
202.00	0.00	13.19	13.19
203.00	0.00	12.79	12.79
204.00	0.00	12.53	12.53
205.00	0.00	12.25	12.25
206.00	0.00	12.05	12.05
207.00	0.00	11.84	11.84
208.00	0.00	11.79	11.79
209.00	0.00	12.06	12.06
210.00	0.00	11.91	11.91
211.00	0.00	11.21	11.21
212.00	0.00	10.77	10.77
213.00	0.00	10.12	10.12
214.00	0.33	9.51	9.51
215.00	0.11	8.89	8.89
216.00	0.00	8.36	8.36
217.00	0.23	7.84	7.84
218.00	2.59	7.50	7.50
219.00	3.48	7.00	7.00
220.00	2.28	6.49	6.49
221.00	2.06	6.13	6.13
222.00	2.03	5.86	5.86
223.00	2.00	5.51	5.51
224.00	4.19	5.17	5.17
225.00	4.12	5.25	5.25
226.00	6.40	6.25	6.40
227.00	7.26	6.93	7.26
228.00	8.16	7.64	8.16
229.00	8.37	8.41	8.41
230.00	13.20	9.01	13.20
231.00	13.38	9.92	13.38
232.00	13.10	10.14	13.10
233.00	13.57	10.77	13.57
234.00	15.22	11.97	15.22
235.00	15.82	12.57	15.82
236.00	17.08	14.00	17.08
237.00	17.27	14.61	17.27
238.00	23.52	15.53	23.52
239.00	23.73	16.49	23.73
240.00	23.96	17.17	23.96
241.00	24.16	18.12	24.16
242.00	24.37	19.14	24.37
243.00	24.58	19.69	24.58
244.00	24.77	20.50	24.77
245.00	24.93	20.94	24.93
246.00	25.11	21.67	25.11
247.00	27.13	22.54	27.13
248.00	27.31	23.34	27.31
249.00	27.52	24.31	27.52
250.00	30.71	25.36	30.71
251.00	30.86	25.76	30.86
252.00	31.10	26.42	31.10
253.00	34.33	27.44	34.33
254.00	36.39	28.10	36.39
255.00	36.52	28.62	36.52
256.00	37.54	29.48	37.54
257.00	38.91	29.97	38.91
258.00	39.02	30.01	39.02
259.00	39.13	30.38	39.13
260.00	39.21	31.00	39.21
261.00	40.16	31.15	40.16
262.00	40.23	32.00	40.23
263.00	40.39	32.82	40.39
264.00	41.53	33.66	41.53
265.00	41.58	33.71	41.58
266.00	41.62	34.02	41.62
267.00	41.65	35.05	41.65
268.00	41.01	36.25	41.01
269.00	41.02	36.26	41.02
270.00	41.03	36.27	41.03
271.00	41.03	36.26	41.03
272.00	41.01	36.40	41.01
273.00	37.90	38.48	38.48
274.00	38.43	38.45	38.45
275.00	42.33	38.41	42.33
276.00	43.14	38.36	43.14
277.00	43.09	39.20	43.09
278.00	43.02	40.03	43.02
279.00	42.94	39.96	42.94
280.00	42.86	40.24	42.86
281.00	42.77	40.38	42.77
282.00	42.67	41.04	42.67
283.00	42.56	41.38	42.56
284.00	42.44	41.26	42.44
285.00	42.31	41.30	42.31
286.00	42.18	41.79	42.18
287.00	42.00	41.64	42.00
288.00	42.30	41.76	42.30
289.00	42.61	41.60	42.61
290.00	42.35	42.30	42.35
291.00	42.82	42.11	42.82
292.00	42.55	42.42	42.55
293.00	42.85	42.22	42.85
294.00	42.64	42.21	42.64
295.00	42.41	42.30	42.41
296.00	42.33	42.06	42.33
297.00	42.94	46.65	46.65
298.00	44.30	46.40	46.40
299.00	44.02	46.12	46.12
300.00	43.79	45.84	45.84
301.00	43.34	45.55	45.55
302.00	43.93	45.24	45.24
303.00	44.14	44.92	44.92
304.00	44.12	44.59	44.59
305.00	44.53	44.55	44.55
306.00	45.43	45.22	45.43
307.00	45.06	45.77	45.77
308.00	44.89	46.30	46.30
309.00	45.42	46.57	46.57
310.00	45.78	46.15	46.15
311.00	45.01	47.82	47.82
312.00	45.04	47.38	47.38
313.00	46.03	47.79	47.79
314.00	45.34	47.32	47.32
315.00	45.26	48.01	48.01
316.00	45.09	48.00	48.00
317.00	45.23	48.47	48.47
318.00	45.04	48.38	48.38
319.00	45.38	48.82	48.82
320.00	45.43	48.68	48.68
321.00	45.27	48.57	48.57
322.00	45.29	48.73	48.73
323.00	45.73	48.67	48.67
324.00	45.83	49.04	49.04
325.00	45.50	48.78	48.78
326.00	45.92	48.84	48.84
327.00	45.87	49.06	49.06
328.00	45.75	49.14	49.14
329.00	45.86	49.44	49.44
330.00	45.94	49.06	49.06
331.00	45.91	49.34	49.34
332.00	45.51	49.11	49.11
333.00	45.72	49.15	49.15
334.00	45.33	48.83	48.83
335.00	45.28	48.88	48.88
336.00	45.04	49.08	49.08
337.00	45.20	48.75	48.75
338.00	45.30	48.91	48.91
339.00	45.07	49.05	49.05
340.00	44.92	49.10	49.10
341.00	44.75	49.27	49.27
342.00	44.79	49.20	49.20
343.00	44.51	48.77	48.77
344.00	44.59	48.92	48.92
345.00	44.95	48.47	48.47
346.00	44.84	48.24	48.24
347.00	44.88	48.36	48.36
348.00	44.80	47.17	47.17
349.00	45.05	47.19	47.19
350.00	45.23	47.28	47.28
351.00	45.00	46.55	46.55
352.00	45.27	46.63	46.63
353.00	45.02	46.49	46.49
354.00	45.32	45.24	45.32
355.00	44.92	45.29	45.29
356.00	44.86	44.96	44.96
357.00	44.90	43.90	44.90
358.00	44.76	43.92	44.76
359.00	44.57	41.74	44.57
