Position MGI Austria West (EPSG 31254)	71911 RW; 237063 HW
Position WGS 84 (EPSG 4326)           	11°16'59" Ost; 47°16'6" Nord
Azimut	Nah-Horizont	Fern-Horizont	Total
193.00	0.00	6.93	6.93
194.00	0.00	7.14	7.14
195.00	0.00	7.62	7.62
196.00	0.00	7.50	7.50
197.00	0.00	7.89	7.89
198.00	0.00	7.78	7.78
199.00	0.00	8.01	8.01
200.00	0.00	7.96	7.96
201.00	0.00	8.19	8.19
202.00	0.00	8.35	8.35
203.00	0.00	8.14	8.14
204.00	0.00	7.79	7.79
205.00	0.00	7.26	7.26
206.00	0.00	6.67	6.67
207.00	0.00	6.51	6.51
208.00	0.00	6.38	6.38
209.00	0.00	6.54	6.54
210.00	0.00	6.80	6.80
211.00	0.00	7.04	7.04
212.00	0.00	7.01	7.01
213.00	0.00	7.13	7.13
214.00	0.00	7.23	7.23
215.00	0.00	7.29	7.29
216.00	0.00	7.70	7.70
217.00	0.00	7.63	7.63
218.00	0.00	7.46	7.46
219.00	0.00	7.35	7.35
220.00	0.00	6.85	6.85
221.00	0.00	6.34	6.34
222.00	0.00	5.69	5.69
223.00	0.00	5.77	5.77
224.00	0.00	5.55	5.55
225.00	0.00	5.94	5.94
226.00	0.00	5.75	5.75
227.00	0.00	5.88	5.88
228.00	0.00	6.18	6.18
229.00	0.00	6.23	6.23
230.00	0.00	6.08	6.08
231.00	0.00	6.66	6.66
232.00	0.00	7.03	7.03
233.00	0.00	7.19	7.19
234.00	0.00	7.25	7.25
235.00	0.00	7.34	7.34
236.00	0.00	7.36	7.36
237.00	0.00	7.54	7.54
238.00	0.00	7.92	7.92
239.00	0.00	7.98	7.98
240.00	0.00	8.30	8.30
241.00	0.00	8.82	8.82
242.00	0.00	9.32	9.32
243.00	0.00	8.93	8.93
244.00	0.00	8.33	8.33
245.00	0.00	8.28	8.28
246.00	0.00	8.12	8.12
247.00	0.00	8.07	8.07
248.00	0.00	8.33	8.33
249.00	0.00	8.15	8.15
250.00	0.00	8.14	8.14
251.00	0.00	7.89	7.89
252.00	0.00	7.63	7.63
253.00	0.00	7.69	7.69
254.00	0.00	7.61	7.61
255.00	0.00	7.62	7.62
256.00	0.00	7.67	7.67
257.00	0.00	7.42	7.42
258.00	0.00	7.30	7.30
259.00	0.00	7.35	7.35
260.00	0.00	7.15	7.15
261.00	0.00	6.94	6.94
262.00	0.00	6.75	6.75
263.00	0.00	6.94	6.94
264.00	0.00	6.69	6.69
265.00	0.00	6.12	6.12
266.00	0.00	5.78	5.78
267.00	0.00	5.38	5.38
268.00	0.00	5.28	5.28
269.00	0.00	4.80	4.80
270.00	0.00	4.16	4.16
271.00	0.00	16.78	16.78
272.00	0.00	16.77	16.77
273.00	0.00	20.37	20.37
274.00	0.00	20.35	20.35
275.00	0.00	21.74	21.74
276.00	0.00	22.83	22.83
277.00	0.00	22.79	22.79
278.00	0.00	23.68	23.68
279.00	0.00	24.19	24.19
280.00	0.00	24.49	24.49
281.00	0.00	25.06	25.06
282.00	1.59	24.98	24.98
283.00	1.09	25.95	25.95
284.00	1.53	25.85	25.85
285.00	1.37	26.42	26.42
