Position MGI Austria West (EPSG 31254)	80296 RW; 238681 HW
Position WGS 84 (EPSG 4326)           	11°23'39" Ost; 47°16'55" Nord
Azimut	Nah-Horizont	Fern-Horizont	Total
193.00	26.69	4.95	26.69
194.00	25.66	5.34	25.66
195.00	24.92	5.69	24.92
196.00	22.86	5.98	22.86
197.00	24.09	6.12	24.09
198.00	23.98	6.25	23.98
199.00	22.78	6.15	22.78
200.00	20.16	6.51	20.16
201.00	20.62	6.53	20.62
202.00	20.49	6.20	20.49
203.00	17.24	6.51	17.24
204.00	16.08	6.98	16.08
205.00	11.74	7.62	11.74
206.00	11.67	7.74	11.67
207.00	10.29	8.21	10.29
208.00	8.94	7.76	8.94
209.00	8.65	7.07	8.65
210.00	7.79	6.90	7.79
211.00	8.91	6.82	8.91
212.00	10.03	6.79	10.03
213.00	9.95	6.40	9.95
214.00	9.94	6.34	9.94
215.00	2.75	6.03	6.03
216.00	3.00	5.95	5.95
217.00	2.80	6.41	6.41
218.00	1.29	6.15	6.15
219.00	4.56	5.96	5.96
220.00	7.55	6.32	7.55
221.00	8.38	6.09	8.38
222.00	7.52	6.14	7.52
223.00	3.93	5.95	5.95
224.00	3.40	5.59	5.59
225.00	5.39	5.11	5.39
226.00	4.98	4.98	4.98
227.00	5.66	4.95	5.66
228.00	6.14	5.08	6.14
229.00	8.99	5.03	8.99
230.00	9.57	4.94	9.57
231.00	13.23	5.14	13.23
232.00	13.39	4.82	13.39
233.00	13.56	5.12	13.56
234.00	14.80	4.94	14.80
235.00	15.89	4.84	15.89
236.00	15.88	4.35	15.88
237.00	15.93	3.79	15.93
238.00	16.09	4.73	16.09
239.00	15.55	4.78	15.55
240.00	15.71	4.82	15.71
241.00	15.01	7.03	15.01
242.00	14.95	7.10	14.95
243.00	14.04	7.16	14.04
244.00	15.09	7.38	15.09
245.00	15.28	7.44	15.28
246.00	16.09	7.50	16.09
247.00	15.37	8.52	15.37
248.00	16.71	8.58	16.71
249.00	15.59	9.32	15.59
250.00	13.84	9.38	13.84
251.00	13.88	9.44	13.88
252.00	15.39	9.49	15.39
253.00	17.08	12.33	17.08
254.00	16.79	12.39	16.79
